V063_IMG_SECTIONS=1
V063_MAP_BIAS=0x41fffffc
V063_RAW_PAGE_POOLS=1|0x421552f8
V063_CODE_XREFS=4
V063_XREF=0x42154ffc|pool=0x421552f8|ldr r0, [pc, #0x2f8]|owner=0x42154f84
V063_XREF=0x42155008|pool=0x421552f8|ldr r1, [pc, #0x2ec]|owner=0x42154f84
V063_XREF=0x42155024|pool=0x421552f8|ldr r1, [pc, #0x2d0]|owner=0x42154f84
V063_XREF=0x42155040|pool=0x421552f8|ldr r1, [pc, #0x2b4]|owner=0x42154f84
V063_OWNER_FUNCTIONS=1

=== OWNER 0x42154f84-0x421552f4 page_xrefs=0x42154ffc,0x42155008,0x42155024,0x42155040 ===
42154f84: push     {r4, r5, r6, lr}
42155292: lsls     r1, r1, #8
42155294: bics     r0, r1
42155296: ldr      r1, [pc, #0x6c] ; pool=0x42155304->0x20022580:MMIO:str=None
42155298: adds     r1, #0x80
4215529a: str      r0, [r1, #0x10]
4215529c: movs     r0, r1
4215529e: ldr      r0, [r0, #0x14]
421552a0: lsrs     r0, r0, #8
421552a2: lsls     r0, r0, #8
421552a4: adds     r0, #0xff
421552a6: str      r0, [r1, #0x14]
421552a8: movs     r0, r1
421552aa: ldr      r0, [r0, #0x14]
421552ac: movs     r1, #0xff
421552ae: lsls     r1, r1, #8
421552b0: bics     r0, r1
421552b2: ldr      r1, [pc, #0x50] ; pool=0x42155304->0x20022580:MMIO:str=None
421552b4: adds     r1, #0x80
421552b6: str      r0, [r1, #0x14]
421552b8: movs     r0, #0xaf
421552ba: lsls     r0, r0, #2
421552bc: adds     r0, r4, r0
421552be: bl       #0x420cf624
421552c2: ldr      r0, [pc, #0x3c] ; pool=0x42155300->0x20022400:MMIO:str=None
421552c4: ldr      r0, [r0, #0x10]
421552c6: movs     r1, #0x30
421552c8: bics     r0, r1
421552ca: adds     r0, #0x10
421552cc: ldr      r1, [pc, #0x30] ; pool=0x42155300->0x20022400:MMIO:str=None
421552ce: str      r0, [r1, #0x10]
421552d0: movs     r0, r1
421552d2: ldr      r0, [r0, #0x10]
421552d4: movs     r1, #0xc0
421552d6: bics     r0, r1
421552d8: adds     r0, #0x40
421552da: ldr      r1, [pc, #0x24] ; pool=0x42155300->0x20022400:MMIO:str=None
421552dc: str      r0, [r1, #0x10]
421552de: movs     r0, r1
421552e0: ldr      r0, [r0, #0x10]
421552e2: lsrs     r0, r0, #1
421552e4: lsls     r0, r0, #1
421552e6: str      r0, [r1, #0x10]
421552e8: movs     r0, r1
421552ea: ldr      r0, [r0, #0x14]
421552ec: lsrs     r0, r0, #1
421552ee: lsls     r0, r0, #1
421552f0: str      r0, [r1, #0x14]
421552f2: pop      {r4, r5, r6, pc}
V063_NEAR_ASCII=owner=0x42154f84|0x421548c7|@POST PROCESSING FILTER     String:%s
V063_NEAR_ASCII=owner=0x42154f84|0x421548f8|NO VALID STRING   img_b2y_select_post_processing_filter_paraset
V063_NEAR_ASCII=owner=0x42154f84|0x42154997|@SHIFT     String:%s
V063_NEAR_ASCII=owner=0x42154f84|0x421549b4|NO VALID STRING   img_b2y_select_shift_paraset
V063_NEAR_ASCII=owner=0x42154f84|0x42154a67|@SUBPRE_LIGHT     String:%s
V063_NEAR_ASCII=owner=0x42154f84|0x42154a8c|NO VALID STRING   img_b2y_select_subpre_light_paraset
V063_NEAR_ASCII=owner=0x42154f84|0x42154b47|@TEXTURE ENHANCEMENT     String:%s
V063_NEAR_ASCII=owner=0x42154f84|0x42154b74|NO VALID STRING   img_b2y_select_texture_enhancement_paraset
V063_NEAR_ASCII=owner=0x42154f84|0x42154cb3|@TONE     String:%s
V063_NEAR_ASCII=owner=0x42154f84|0x42154cd3|BNO VALID STRING   img_b2y_select_tone_control_paraset   TBL0
V063_NEAR_ASCII=owner=0x42154f84|0x42154d14|NO VALID STRING   img_b2y_select_tone_control_paraset   TBL1
V063_NEAR_ASCII=owner=0x42154f84|0x42154db8|WBCLIPLEVEL     String:%s
V063_NEAR_ASCII=owner=0x42154f84|0x42154ddc|NO VALID STRING   img_b2y_select_wbcliplevel_paraset
V063_NEAR_ASCII=owner=0x42154f84|0x42154e74|Y BLEND     String:%s
V063_NEAR_ASCII=owner=0x42154f84|0x42154e94|NO VALID STRING   img_b2y_select_y_blend_paraset
V063_NEAR_ASCII=owner=0x42154f84|0x42154f28|YC CONVERSION     String:%s
V063_NEAR_ASCII=owner=0x42154f84|0x42154f4c|NO VALID STRING   img_b2y_select_yc_conversion_paraset
V063_NEAR_ASCII=owner=0x42154f84|0x4215539f| IMG: -----WARNING----   stop b2y before starting
V063_NEAR_ASCII=owner=0x42154f84|0x421553df| IMG: img_b2y_start()1
V063_OWNER_SUMMARY=start=0x42154f84|end=0x421552f4|has_wb_call=1|has_wb_page=0|has_3fff=1|named_context=1
V063_CALLS=0x42154f8a->0x420cf528,0x42154f96->0x420cf55c,0x42154f9e->0x420cf6d4,0x42154fa8->0x42153eb4,0x42154fb2->0x421547bc,0x42154fbc->0x42154938,0x42154fce->0x420d4380,0x42154fd8->0x42154d58,0x42154fe2->0x42154350,0x42154fec->0x42153d24,0x42155056->0x42154bb4,0x4215505e->0x420d038c,0x42155068->0x4215440c,0x42155072->0x42153dec,0x4215507c->0x42153f60,0x42155086->0x42154ec8,0x42155090->0x42154e14,0x4215509a->0x421546e4,0x421550a4->0x42154144,0x421550ae->0x421544d8,0x421550b8->0x42154060,0x421550c2->0x42154ac4,0x421550cc->0x421539dc,0x421550d6->0x42153924,0x421550e0->0x42153c68,0x421550ea->0x42153a9c,0x421550f4->0x42154868,0x421550fe->0x42153b7c,0x4215510a->0x420cfc0c,0x42155116->0x420cfecc,0x42155120->0x420d02dc,0x4215512a->0x420d4a80,0x42155134->0x421549e4,0x421551e6->0x420cfc0c,0x421551f2->0x420cfecc,0x421551fc->0x420d02dc,0x42155206->0x420d4a80,0x421552be->0x420cf624
V063_OWNERS_NAMED_CONTEXT=1
V063_OWNERS_WB_RELATED=1
V063_OWNERS_WITH_3FFF=1
OVERALL_VERDICT=PAGE_20020780_SHARED_ORCHESTRATOR_NEEDS_SUBBLOCK_CLASSIFICATION
